sentiment,text,user
positive,"RT @cutedejun: sm not letting xiaojun go for his graduation nor his brother's wedding last year is my villain origin story, he's too nice t…",89SHAWDUHJ
neutral,"@JDaniel2033 He spoke at my Naval boot camp graduation. \""Let's play two\",ended
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,SamArden3
negative,RT @mainintrovert: Aww nagtampo puro raw ako #KDLex. Sorry Rui. 🥺 Study time muna at cuddle with you. \n\n@alexailacad and @kdestrada_ are in…,Danielle_240702
negative,RT @devinisasleep: Lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,jxdanquah
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,CNoob24
positive,Jen spent time on Facebook. She enjoyed learning about social media post times &amp; follower growth. She is a marketin… https://t.co/Tfeq7SPMaY,samh18949006
neutral,@ShesVitriolic Looks like a graduation cap.,sigma_cori
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,classytraveler1
negative,"@Marcheline3Di For me, it was spent recovering from an all-nighter I spent on music projects related to a VTuber's… https://t.co/HQ3LEAH1aF",Cantomancer
neutral,"RT @msrgriffith: When I graduated in grade 8, our school custodian attended to give me a graduation present. I still have it and I never fo…",DarleneJones96
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,5mutmeg
neutral,RT @aboyobbhuyan: Assam: Nomenclature of ‘Graduate Teacher’ and ‘Post-Graduate Teacher’ will be abolished.\n\nAll teachers will be referred t…,Libiyang1
positive,RT @rajaesiesta: 349. Happy graduation https://t.co/wNNmEjDVIX,nalprivacc
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,MattHilde13
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,ComeAndTweetIt
negative,RT @mainintrovert: Aww nagtampo puro raw ako #KDLex. Sorry Rui. 🥺 Study time muna at cuddle with you. \n\n@alexailacad and @kdestrada_ are in…,KDLex_trueLove
positive,All but decided I'm going to Hawaii for my graduation trip. Yippee. 2 nights at Disney Aulani since I can't really… https://t.co/8n8RkBduxK,cheshire_canuck
neutral,GISELLE SELFIE GRADUATION 🎓 https://t.co/UaHyumrZik,lelehaul
negative,RT @devinisasleep: Lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,joyonmarrs
positive,"@kimberlyxsays @USC_FB no? We lost like 30 guys to portal/draft/graduation, lol",orwellsodomite
positive,"\""kids can't know their gender!\""\n\nAwesome, so we're agreed that the excessively gendered toy aisles and clothing sty… https://t.co/Irh5sX6B0B",DrVivien2U
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,MusserJim
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,hwngminigaretta
neutral,@exampuroficial According 13.1इसमें क्लियर लिखा है cbt1 का स्तर पद मे दी गई योग्यता के हिसाब से होगा \nतो फिर gradua… https://t.co/A26lmo4Jp3,Shekhar39907327
neutral,RT @48RequestHour: Preview of some of Kato Rena’s upcoming Graduation Goods! The video has Renacchi posing in various AKB48 Isshous from di…,TeamIzurina
negative,"I have an irl friend here on Twitter, a college close friend, ( hi there, mhega)  and we only message each other du… https://t.co/IQKJ6X77w8",blustrlght21
neutral,"RT @Asa_Jikwana: Last day apha kule Office😊ndiyivune yonke igadi\nMy graduation is in 3 months, so uthe uMakhulu soyigcina lemali ndithenge…",KottonGhetto
neutral,"RT @chspuck: Senior Sunday🏒🥅🚨Josh Mohl\nNickname: Mohly, Parents: Troy &amp; Brenda Mohl, Hockey #: 23, Position: Forward, Sports and activities…",tolson77
positive,Hoy AMA pakyu ka bigay mo na Form 137 namin for JHS panira ka sa graduation eh! Hahahaha,imleonard12
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,freedomforusa1
neutral,@khansiroffical0 @RailMinIndia @PMOIndia According 13.1 इसमें क्लियर लिखा है cbt1 का स्तर पद मे दी गई योग्यता के हि… https://t.co/WZYhB0rmtv,Shekhar39907327
neutral,RT @daddaeekalix: the things i miss in ElVi:\n\n18th b-day of elyse\nsevi watching elyse's cheerleader competition\nelyse watching sevi's playi…,_ivmsd
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,BeholdAmerica
negative,"RT @seongminbliss: this part when minhee talking about his graduation days 😂 he said in his middle school graduation day, he was childish b…",k_jmbibi
neutral,829 days until May 2024 and graduation 🤪🤪🤪,mrpatsti2
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,DangItPeople1
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,Noissim12
negative,I don't really care for flowers but I feel like my friends and family need to come hard with em for my graduation😂… https://t.co/yWojyfPCsX,TGV____
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,Irene99879148
neutral,"My big brother and I at FAM Graduation in São Paulo, Brasil! https://t.co/gP7Kzz0pb6",quirkycoach
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,woopwoopoz
neutral,Mukhang magiging graduation gift yung mga albums na inorder ko ah HAHAHAHAHAHAHA neta pa ㅠㅠ,adbcnjakey
positive,"this is why i can’t do the speech at graduation. although i’m honored, i really can’t speak in front of a large crowd of people.",ihave_ME
positive,RT @TexasFarmBureau: New scholarship available! The Texas Farm Bureau Rural Veterinary Scholarship is for second-year and third-year veteri…,corpcowgirl969
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,PatriotChick20
positive,"Azusa can't stand being lonely. At the graduation of the original club members, she begged them under tears to not… https://t.co/879g3RJBj3",fairworx
positive,RT @pratikks999: PRATIK DESERVES BB TROPHY\n\nGraduation is such a great feeling \nIts start of another day and journey so new \nIts a day fill…,Abhishe69048924
neutral,@amyriscool Retention and graduation rates with a look at student debt incurred,IsitJuneyet
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,CPoppino
neutral,@Ipercreeper_ @atribecalledwu He dose tcd LR graduation 808s MBDTF,blazeKalama
neutral,@sonali_mehta25 @rishibagree @priyankagandhi I completed my graduation in 20 years 🤣🤣🤣🤣,Abhishe02132039
positive,@Dr_Meming @OpenAcademics @AcademicChatter Asking for a friend: how many years post graduation should you keep thos… https://t.co/wWEfMfytA3,kkeilts
neutral,@VinodMeena966 @AshwiniVaishnaw @RailMinIndia इसमें क्लियर लिखा है cbt1 का स्तर पद मे दी गई योग्यता के हिसाब से हो… https://t.co/MKq2aAKTOO,Shekhar39907327
neutral,RT @knock1965: #しまりん  ~graduation~\n\n#portrait \n#photography https://t.co/GIes9elLTn,PR_wallpaper01
positive,My graduation pictures make me so happy like i did thattttt,Destizzlexo
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,osicars
positive,RT @IamTheDirector: This shirt is amazing! Thanks so much to @POTUSThump for the graduation gift! Can't wait for this definite hit crossove…,FrPatrickRetter
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,mep1811
neutral,RT @moonlitprints: Graduation Stickers are a must for your graduation festivities!! #classof2022 #graduation2022 #graduationpartyfavors #Sp…,journojobbot
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,Pumpkin23607951
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,mnedconnection
neutral,Graduation Stickers are a must for your graduation festivities!! #classof2022 #graduation2022… https://t.co/kLexYuLXUg,moonlitprints
negative,"RT @DurhamPublicSch: Due to hazardous secondary road conditions and an expected overnight refreeze, tomorrow, Jan. 24, will be a remote lea…",MsAllmanRHS
positive,Jen spent time on Facebook. She enjoyed learning about social media analytics &amp; promotion. She is a marketing major… https://t.co/vdpeJVj5iU,samh18949006
positive,@alessandriana1 just remembering that i got my first laptop as a graduation present in 2003 and it was SUCH a big deal 😅,glorious_spoon
neutral,received an email that struck terror to my heart earlier (graduation ceremony that was supposed to happen last year is now on the horizon),ascaIons
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,MaryintheMntns
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,mikeyB2025
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,snowseongminn
negative,"@mitrakalita What’s wrong with crying? Don’t squish totally normal reactions to graduation, college drop off, kid m… https://t.co/neAL5PyjDA",kathleencarrll
positive,"RT @notedchampagne: hc that post-graduation the first years are close enough they call each other by their first names, except for tsukishi…",EchosOfASong
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,justice4injured
neutral,@KartikRShetty @ChhapoliaRam @i3JPRAiBZlTBYSb @ANI 10th from cbse 12th from UP Board &amp; graduation from mjpru !,roflanaskhan
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,1KitKat79
neutral,face to face graduation cutieeee✊,manuella_mhay
positive,"@ajeetsharmainc Thanks respected sir for simpathy. \nSir  monthly  pay ki bate jrur uthaye kyoki.\n10,12,graduation f… https://t.co/AbZDVfmQzZ",RahhvendraS
neutral,RT @actressKSJ: Yuju's                                Yuju's solo\ngraduation                           debut https://t.co/NiUkyE8R3G,seoulraya
neutral,@exbeekeeper ppl said it might be so they can age the cast up at some point without having to deal with graduation?… https://t.co/eKbOJ4L8In,endsream
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,tsyazmn12
neutral,@AnissaBarrr @GCWrestling_ Is this your graduation cap?,Khaysports
neutral,RT @tsuramthinker: haram's graduation photo https://t.co/n0gHigy4qH,H013K
negative,RT @MattWaldman: His resume lacks punch because he spent three years hiking through southeast Asia after graduation and his experience in t…,theffrobot
positive,"RT @kookiejinnist: 23 yr old Uni student jk celebrating  graduation with his classmates and meets sj in a bar, spends the night at sj’s pla…",jnkkwinks
neutral,@ata225 … and living in Japan where it feels like whatever research results we get it doesn’t make a difference… I’… https://t.co/sQkVy10awN,sheepchase
neutral,RT @Billlie_info: Kim haram's Graduation Photo 💜🎀💙\n\n #하람 #ハラム #HARAM\n#빌리 #ビリー #Billlie @Billlieofficial https://t.co/IEkKSttV4e,muimuidae
positive,"cute pag pasok ko cinema 1, nag play graduation song. wahahhahahaa",airaaalvarez
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,luvitiez
neutral,【PR】\n神戸ファッション専門学校（ @kfi_fashion ）\n\n2022ファッションフェア\nMOMENT\n\n学生代表のメッセージをお届けします。\n\n▽卒展の準備風景や会場の様子\n#ファッションスクール卒展2022 \n\n▽開催… https://t.co/E5Mw8G1GNN,SENKENplus
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,etherealvity
neutral,"RT @OnlinePalEng: Awareness of the inevitability of liberation!\n\nPalestinian architect student Saja Al-Barghouti, daughter of professor and…",ozzy_citizen
negative,Chutiya bhakts may excel at photoshop but poor spelling will reveal their deceit. WhatsApp University se graduation… https://t.co/GYKAOT6CQr,LadyDramadragon
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,BrandonElect
neutral,"RT @PEFMISSIONS: Awareness of the inevitability of liberation!\n\nPalestinian architect student Saja Al-Barghouti, daughter of professor and…",ozzy_citizen
negative,I wanted to be a pediatrician- little me said babyatrician for my preschool graduation https://t.co/F9URPyYVgu,whydontwe_ari
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,RinoRooter
neutral,RT @48RequestHour: AKB48 Team TP's Captain Chen Shih-ya announced graduation.\n\nHer graduation concert will be held in May. https://t.co/QgN…,aisu8ikonoi
positive,"RT @kookiejinnist: 23 yr old Uni student jk celebrating  graduation with his classmates and meets sj in a bar, spends the night at sj’s pla…",fairyoonjinkook
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,andreszvec
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,Rom6233
